"region","site","latitude_DD","longitude_DD","n_fish_surveys","min_fish_survey_depth_m","med_fish_survey_depth_m","max_fish_survey_depth_m","n_coral_surveys","min_coral_survey_depth_m","med_coral_survey_depth_m","max_coral_survey_depth_m"
"Panamá","Arcoiris Reef",9.268444,-82.241917,2,5,7.5,10,2,5,7.5,10
"Panamá","Casa Blanca",9.359444,-82.276667,2,5,7.5,10,2,5,7.5,10
"Panamá","Cayo Roldan",9.214778,-82.324556,2,5,7.5,10,2,5,7.5,10
"Panamá","Crawl Cay",9.243833,-82.145139,2,5,7.5,10,2,5,7.5,10
"Panamá","Finca",9.288306,-82.256778,2,5,7.5,10,2,5,7.5,10
"Panamá","Isla Pastores Inside",9.234694,-82.345528,2,5,7.5,10,2,5,7.5,10
"Panamá","Isla Pastores Outside",9.24,-82.3375,2,5,7.5,10,2,5,7.5,10
"Panamá","Mystery Spot",9.27125,-82.298056,2,5,7.5,10,2,5,7.5,10
"Panamá","Punta STRI",9.348806,-82.262861,2,5,7.5,10,2,5,7.5,10
"Panamá","Seagal",9.289194,-82.295694,2,5,7.5,10,2,5,7.5,10
"Florida","Conch Reef",24.96119,-80.456647,2,5.5,5.7,5.8,2,5.5,5.7,5.8
"Florida","Davis Reef",24.92706,-80.505505,3,6.1,6.7,6.7,3,6.1,6.7,6.7
"Florida","French Reef",25.03482,-80.347778,4,7,8.4,9.8,4,7,8.4,9.8
"Florida","Molasses Reef",25.00847,-80.376266,2,6.1,6.1,6.1,2,6.1,6.1,6.1
"St. Croix","BIRNM Lagoon",17.78787,-64.609955,11,1.5,2.1,3,8,2.1,3.4,3.4
"St. Croix","BIRNM S. Forereef",17.78671,-64.608798,23,4.6,6.7,9.8,11,3,6.1,10.4
"St. Croix","BIRNM Scuba Cut",17.78939,-64.610279,8,6.1,7,8.5,8,5.5,7.7,10.1
"St. Croix","Cane Bay",17.77308,-64.812824,32,5.2,10.1,16.2,11,5.5,6.7,10.7
"St. Croix","Long Reef",17.76148,-64.720012,30,7,10.1,13.7,6,7,8.4,11
"St. Croix","Northstar",17.76844,-64.823126,27,8.2,11.6,16.2,8,7.6,8.3,10.1
"St. Croix","Salt River",17.77988,-64.760394,19,6.1,13.1,17.7,7,6.4,7.6,9.1
"St. Croix","Teague Bay",17.76112,-64.607426,25,4.6,5.8,11,5,7,7.6,9.8
"Bonaire","Bachelor's Beach",12.12573,-68.288226,7,9.1,11.6,12.2,8,7.6,11.9,15.2
"Bonaire","Cliff",12.17428,-68.290726,5,9.1,11,17.1,8,6.4,11,15.5
"Bonaire","Karpata",12.21912,-68.352684,26,4.9,6.4,15.8,8,5.8,10.7,15.8
"Bonaire","Tolo",12.21496,-68.337958,32,5.8,7.9,15.5,8,5.8,10.4,15.5
