"region","site","latitude_DD","longitude_DD","n_fish_surveys","n_coral_surveys"
"Panamá","Arcoiris Reef",9.268444,-82.241917,2,2
"Panamá","Casa Blanca",9.359444,-82.276667,2,2
"Panamá","Cayo Roldan",9.214778,-82.324556,2,2
"Panamá","Crawl Cay",9.243833,-82.145139,2,2
"Panamá","Finca",9.288306,-82.256778,2,2
"Panamá","Isla Pastores Inside",9.234694,-82.345528,2,2
"Panamá","Isla Pastores Outside",9.24,-82.3375,2,2
"Panamá","Mystery Spot",9.27125,-82.298056,2,2
"Panamá","Punta STRI",9.348806,-82.262861,2,2
"Panamá","Seagal",9.289194,-82.295694,2,2
"Florida","Conch Reef",24.96119,-80.456647,2,2
"Florida","Davis Reef",24.92706,-80.505505,3,3
"Florida","French Reef",25.03482,-80.347778,4,4
"Florida","Molasses Reef",25.00847,-80.376266,2,2
"St. Croix","BIRNM Lagoon",17.78787,-64.609955,11,8
"St. Croix","BIRNM S. Forereef",17.78671,-64.608798,23,11
"St. Croix","BIRNM Scuba Cut",17.78939,-64.610279,8,8
"St. Croix","Cane Bay",17.77308,-64.812824,32,11
"St. Croix","Long Reef",17.76148,-64.720012,30,6
"St. Croix","Northstar",17.76844,-64.823126,27,8
"St. Croix","Salt River",17.77988,-64.760394,19,7
"St. Croix","Teague Bay",17.76112,-64.607426,25,5
"Bonaire","Bachelor's Beach",12.12573,-68.288226,7,8
"Bonaire","Cliff",12.17428,-68.290726,5,8
"Bonaire","Karpata",12.21912,-68.352684,26,8
"Bonaire","Tolo",12.21496,-68.337958,32,8
